FILE;Threads;Task;OF;nanoTime;min;sec;ms;ns
qa194.tsp.txt;5;100;9542.544892133292;2814819681;0;2;819;681
qa194.tsp.txt;5;100;9555.103036946177;2907135799;0;2;135;799
qa194.tsp.txt;5;100;9492.10892353183;2906067139;0;2;67;139
qa194.tsp.txt;5;100;9413.707898599721;2861805407;0;2;805;407
qa194.tsp.txt;5;100;9547.547324000805;2967443439;0;2;443;439
qa194.tsp.txt;5;100;9558.713404753917;2847921040;0;2;921;40
qa194.tsp.txt;5;100;9548.792485231372;2834984631;0;2;984;631
qa194.tsp.txt;5;100;9527.674380824325;3003481868;0;3;481;868
qa194.tsp.txt;5;100;9511.953088162938;2949035230;0;2;35;230
qa194.tsp.txt;5;100;9538.40429107963;2868583165;0;2;583;165
qa194.tsp.txt;4;100;9541.99080739609;3253662818;0;3;662;818
qa194.tsp.txt;4;100;9526.34519000579;3365138451;0;3;138;451
qa194.tsp.txt;4;100;9450.547867062935;3177695184;0;3;695;184
qa194.tsp.txt;4;100;9525.956863286257;3172247606;0;3;247;606
qa194.tsp.txt;4;100;9512.23088293213;3205266445;0;3;266;445
qa194.tsp.txt;4;100;9495.400291090193;3269857346;0;3;857;346
qa194.tsp.txt;4;100;9477.42720517283;3387018267;0;3;18;267
qa194.tsp.txt;4;100;9519.632046480321;3249658321;0;3;658;321
qa194.tsp.txt;4;100;9436.053028131617;3254945375;0;3;945;375
qa194.tsp.txt;4;100;9507.0694308076;2979793994;0;2;793;994
qa194.tsp.txt;4;100;9460.80220738605;3146743461;0;3;743;461
qa194.tsp.txt;4;100;9518.837088465518;3391099127;0;3;99;127
qa194.tsp.txt;4;100;9508.938622799988;3295549933;0;3;549;933
qa194.tsp.txt;4;100;9550.828253387848;3101138823;0;3;138;823
qa194.tsp.txt;4;100;9520.120420461973;3083593176;0;3;593;176
qa194.tsp.txt;4;100;9519.280446367602;3388910899;0;3;910;899
qa194.tsp.txt;4;100;9501.749479846007;3129581679;0;3;581;679
qa194.tsp.txt;4;100;9430.352993477594;3327917640;0;3;917;640
qa194.tsp.txt;4;100;9500.347509812415;3131938232;0;3;938;232
qa194.tsp.txt;4;100;9485.009692603551;3399824941;0;3;824;941
qa194.tsp.txt;4;100;9560.278577849413;3147514473;0;3;514;473
qa194.tsp.txt;4;100;9494.61896093907;3104108326;0;3;108;326
qa194.tsp.txt;4;100;9512.49765291;3189884393;0;3;884;393
qa194.tsp.txt;4;100;9576.959156731966;3282886950;0;3;886;950
qa194.tsp.txt;4;100;9495.796314415109;3159741042;0;3;741;42
qa194.tsp.txt;4;100;9454.081412965685;3263699517;0;3;699;517
qa194.tsp.txt;4;100;9470.90257695581;3203748643;0;3;748;643
qa194.tsp.txt;4;100;9561.344899469628;3356431522;0;3;431;522
qa194.tsp.txt;3;100;9512.001999985;4049955230;0;4;955;230
qa194.tsp.txt;3;100;9474.817060623413;4074727364;0;4;727;364
qa194.tsp.txt;3;100;9502.439990259176;3877251094;0;3;251;94
qa194.tsp.txt;3;100;9478.42943912248;3856474014;0;3;474;14
qa194.tsp.txt;3;100;9445.734821056632;3934841719;0;3;841;719
qa194.tsp.txt;3;100;9536.037755372097;3924913405;0;3;913;405
qa194.tsp.txt;3;100;9504.807766669172;4155888447;0;4;888;447
qa194.tsp.txt;3;100;9513.909987458084;4015949020;0;4;949;20
qa194.tsp.txt;3;100;9516.572472217478;3718084410;0;3;84;410
qa194.tsp.txt;3;100;9421.792337899118;3906146785;0;3;146;785
qa194.tsp.txt;3;100;9486.679765715107;4010374992;0;4;374;992
qa194.tsp.txt;2;100;9467.134209185164;5390174159;0;5;174;159
qa194.tsp.txt;2;100;9498.088165329571;5722634117;0;5;634;117
qa194.tsp.txt;2;100;9495.141382443844;5641293624;0;5;293;624
qa194.tsp.txt;2;100;9532.704231827596;5525799534;0;5;799;534
qa194.tsp.txt;2;100;9535.269506172786;5487773636;0;5;773;636
qa194.tsp.txt;2;100;9379.711408173322;5526242928;0;5;242;928
qa194.tsp.txt;2;100;9422.43852901537;5742070753;0;5;70;753
qa194.tsp.txt;2;100;9454.045599160385;5595158556;0;5;158;556
qa194.tsp.txt;2;100;9415.141912041483;5805194352;0;5;194;352
qa194.tsp.txt;2;100;9588.190303150797;5724366225;0;5;366;225
qa194.tsp.txt;2;100;9515.977562005744;5639412898;0;5;412;898
qa194.tsp.txt;2;100;9449.279703013595;5340151599;0;5;151;599
qa194.tsp.txt;2;100;9511.33172016596;5909785894;0;5;785;894
qa194.tsp.txt;2;100;9492.849172943346;5650211577;0;5;211;577
qa194.tsp.txt;2;100;9522.498613016314;5392077055;0;5;77;55
qa194.tsp.txt;1;100;9464.167326954594;10544459000;0;10;459;0
qa194.tsp.txt;1;100;9525.346000689928;10650778545;0;10;778;545
qa194.tsp.txt;1;100;9552.855820032288;10402436035;0;10;436;35
qa194.tsp.txt;1;100;9445.99791842282;10297526317;0;10;526;317
qa194.tsp.txt;1;100;9541.274705214497;10225424826;0;10;424;826
qa194.tsp.txt;1;100;9460.810446619002;11214346564;0;11;346;564
qa194.tsp.txt;1;100;9471.7494449552;10842768646;0;10;768;646
qa194.tsp.txt;1;100;9496.22133563777;10307553984;0;10;553;984
qa194.tsp.txt;1;100;9513.007765285161;9968040379;0;9;40;379
qa194.tsp.txt;1;100;9556.872238128219;10616658203;0;10;658;203
qa194.tsp.txt;1;100;9523.009837815456;11046536585;0;11;536;585
qa194.tsp.txt;1;100;9493.465610865833;10999251569;0;10;251;569
qa194.tsp.txt;1;100;9488.380370176239;9770146989;0;9;146;989
qa194.tsp.txt;1;100;9561.39626877792;9676102869;0;9;102;869
qa194.tsp.txt;1;100;9459.78243792849;10042749679;0;10;749;679
qa194.tsp.txt;1;100;9455.733903570701;10022896335;0;10;896;335
qa194.tsp.txt;1;100;9502.779214957603;10432822022;0;10;822;22
qa194.tsp.txt;1;100;9509.906192811713;9867877021;0;9;877;21
qa194.tsp.txt;1;100;9497.663463179686;11315885672;0;11;885;672
qa194.tsp.txt;8;100;9455.038416815756;2106538367;0;2;538;367;
qa194.tsp.txt;8;100;9565.874858150144;2120043797;0;2;43;797;
uy734.tsp.txt;8;100;82394.09946614991;382017046418;6;22;46;418;
qa194.tsp.txt;8;100;9515.181870215973;2205110025;0;2;110;25;
